id,name,name_nepali,alternate_names,description,food_category,food_type,cuisine,region,district_or_city,ethnic_association,meal_type,diet_type,main_ingredients,spice_level,serving_style,is_traditional,is_festival_food,is_street_food,is_restaurant_food,image_url,image_source,image_license,image_verified,source_url,research_confidence,notes
212,Sukuti Sadeko,सुकुटी सादेको,Dried Meat Salad,"Rehydrated, shredded dried meat tossed with onion, tomato, chilli, and mustard oil into a tangy, spicy salad, a very popular bar/snack food.",Snack,Salad,Pan-Nepali,National,,Unknown / Mixed,Snack/Appetizer,Non-Vegetarian,"Dried buffalo meat, onion, tomato, mustard oil, spices",Hot,Bowl,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,High,Distinct from plain Sukuti and from the cooked Sukuti curry
213,Batuk,बटुक,,"Deep-fried black lentil patties similar to Bara, associated with Magar and Khas communities and eaten especially during Maghe Sankranti.",Snack,Fritter,Magar / Khas,Gandaki / Lumbini,,Magar,Snack/Festival,Vegan,"Black lentils, ginger, spices",Medium,Plate,TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Medium,
214,Sargemba,सर्गेम्बा,Sargem,A traditional Limbu blood sausage made by stuffing pig blood and spices into intestine casing.,Snack/Side,Meat,Kirat,Koshi,,Limbu,Snack/Side,Non-Vegetarian,"Pig blood, intestine casing, spices",Medium,Plate,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Low,Distinct dish from Kinema; regional Limbu specialty with limited documentation
215,Wachipa (Rai Ash Dish),वाचिपा,Wamik,"A Kirati Rai dish of minced chicken cooked with rice and ash from burnt chicken feathers, giving it a distinctive bitter, smoky note.",Main Course,Meat/Rice Dish,Kirat,Koshi,,Rai,Lunch/Dinner,Non-Vegetarian,"Chicken, rice, burnt chicken-feather ash, spices",Medium,Bowl,TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Low,Name collides with a separate fermented-millet drink also called Wachipa in some sources; renamed here to avoid confusion between the two distinct items
216,Phulaura,फुलौरा,,"Deep-fried fritters made from buckwheat or lentil flour, a common Far-Western Nepal snack eaten with chutney.",Snack,Fritter,Far-Western / Hill-region,Far-Western,,Unknown / Mixed,Snack/Festival,Vegetarian,"Buckwheat or lentil flour, spices",Medium,"Plate, with chutney",TRUE,TRUE,TRUE,FALSE,,,,FALSE,,Low,
217,Babar Roti,बाबर रोटी,Babar,"A thick, deep-fried rice-flour bread, crisp outside and soft inside, traditional to the Tharu community.",Bread,Fried Bread,Tharu,Terai,,Tharu,Snack,Vegan,"Rice flour, oil/ghee",Mild,Plate,TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Low,
218,Gwaramari,ग्वारामरी,,"A round, deep-fried Newari doughnut-like bread, commonly eaten for breakfast with milk tea.",Bread,Fried Bread,Newari,Kathmandu Valley,,Newar,Breakfast,Vegetarian,"Flour, yeast, spices",Mild,"Plate, with chiya",TRUE,FALSE,TRUE,TRUE,,,,FALSE,,Medium,
219,Tarul (Boiled/Fried),तरुल,Yam,"Boiled or deep-fried yam eaten plain, traditionally consumed nationwide during Maghe Sankranti alongside sweet potato and ghee.",Snack/Side,Vegetable,Pan-Nepali,National,,Unknown / Mixed,Snack/Festival,Vegan,Yam,Mild,"Plate, hot or room temp",TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Medium,"Simple festival preparation, distinct from the curried Tarul Ko Tarkari already in this dataset"
220,Soy Sauce,सोया सस,,"A salty fermented soybean sauce, now a standard condiment for momo, chowmein, and other Chinese-influenced dishes in Nepal.",Condiment,Sauce,International (adapted),National,,Unknown / Mixed,Condiment,Vegan,"Fermented soybean, wheat, salt",Mild,Small bottle/dish,FALSE,FALSE,FALSE,TRUE,,,,FALSE,,High,"Adopted condiment; commercially bottled, not home-fermented in most cases"
221,Tomato Ketchup,टमाटो केचप,Ketchup,"Sweet-tangy tomato sauce, widely used with momo, fries, sandwiches, and fast food across Nepal.",Condiment,Sauce,International (adapted),National,,Unknown / Mixed,Condiment,Vegan,"Tomato, sugar, vinegar, spices",Mild,Small bottle/dish,FALSE,FALSE,FALSE,TRUE,,,,FALSE,,High,Adopted condiment; commercial product
222,Chilli Sauce (Nepali-style),चिली सस,Red Chilli Sauce,"A hot, tangy red chilli sauce used as a dip or cooking sauce for momo, chowmein, and fried snacks.",Condiment,Sauce,Modern Nepali fusion,National,,Unknown / Mixed,Condiment,Vegan,"Red chilli, garlic, vinegar, salt",Hot,Small bottle/dish,FALSE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,Often commercially bottled or made fresh at momo/street stalls
223,Mayonnaise,मेयोनिज,Mayo,"A creamy egg or eggless sauce used as a dip or spread, increasingly common with fries, burgers, and sandwiches in urban Nepal.",Condiment,Sauce,International (adapted),National,Kathmandu / Pokhara (urban centers),Unknown / Mixed,Condiment,Vegetarian (egg or eggless variants),"Oil, egg or eggless base, vinegar/lemon",None-Mild,Small bottle/dish,FALSE,FALSE,FALSE,TRUE,,,,FALSE,,High,Adopted condiment; commercial product
224,Momo Achar,मम: अचार,"Momo Chutney, Tomato-Sesame Chutney","The signature tangy, spicy tomato and sesame-based chutney served alongside momo in Nepal.",Condiment,Chutney,Nepali street food,National,Kathmandu (popularized),Unknown / Mixed,Condiment,Vegan,"Tomato, sesame seeds, timur, chilli, garlic",Medium-Hot,Small bowl,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,High,Recipe varies by vendor; some versions use peanut or walnut instead of sesame
225,Milk,दुध,Dudh,"Fresh cow, buffalo, or (in Himalayan areas) yak milk, a household staple used for tea, sweets, and drinking.",Beverage/Ingredient,Dairy,Pan-Nepali,National,,Unknown / Mixed,Any,Vegetarian,Cow/buffalo/yak milk,None,"Glass, or used in cooking",TRUE,FALSE,FALSE,FALSE,,File:Buffalo Milk .jpg | Wikimedia Commons — Category:Cuisine of Nepal,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
226,Ghee,घिउ,Clarified Butter,"Clarified butter used widely in Nepali cooking, sweets, and religious rituals.",Ingredient,Dairy,Pan-Nepali,National,,Unknown / Mixed,Ingredient,Vegetarian,Butter (clarified),None,Used in cooking,TRUE,TRUE,FALSE,FALSE,,File:Pure Ghee.jpg | Wikimedia Commons — Category:Clarified butter,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified.
227,Butter (Makhan),मखन,"Makhan, Nauni","Fresh, unclarified butter churned from milk or curd, used in cooking and eaten with roti or dhido in rural households.",Ingredient,Dairy,Pan-Nepali,National,,Unknown / Mixed,Ingredient/Side,Vegetarian,Milk or curd (churned),None,"Small bowl, or used in cooking",TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
228,Paneer,पनीर,Cottage Cheese,"Fresh, unaged cheese made by curdling milk, used in vegetarian curries and modern Nepali restaurant dishes.",Ingredient/Main Course,Dairy,Pan-Nepali (South Asian-origin),National,,Unknown / Mixed,Lunch/Dinner,Vegetarian,Milk (curdled),None,"Used in curries, or cubed",TRUE,FALSE,FALSE,TRUE,,File:Paneer makhani curry.jpg | Wikimedia Commons,CC BY-SA (see file page),FALSE,,High,Common in Paneer curry dishes at Nepali restaurants Filename confirmed via Commons search; not live URL-verified (see resolver script).
